Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
3/14/2024 0:00,N64527,Replacement,Seat Belt,Flight School N64527 - Seat belt needs replacement.
3/15/2024 0:00,N8184G,Replacement,Bulb,Aircraft Part Norman Lamp
3/15/2024 0:00,N9863L,Service,Oil Analysis Kit,Aircraft Part Metal check analysis kit
3/15/2024 0:00,N9863L,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
3/15/2024 0:00,N9863L,Replacement,Oil,Aircraft Part Phillips type M oil
3/15/2024 0:00,N9863L,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
3/15/2024 0:00,N9863L,Replacement,Air Filter,Aircraft Part Rapco inline air filter
3/15/2024 0:00,N9863L,Replacement,Spark Plug,Aircraft Part Spark plug
3/15/2024 0:00,N9863L,Replacement,Sealant,Aircraft Part Sealant
3/20/2024 0:00,N433SP,Replacement,Battery,Aircraft Part ELT Battery
3/20/2024 0:00,N433SP,Replacement,_UNMAPPED_,Aircraft Part Door lock assy
3/20/2024 0:00,N433SP,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
3/29/2024 0:00,N64527,Replacement,_UNMAPPED_,Aircraft Part Tube assy
3/29/2024 0:00,N64527,Replacement,Cotter Pin,Aircraft Part Cotter pin
4/1/2024 0:00,N8184G,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
4/1/2024 0:00,N8184G,Replacement,Oil Analysis Kit,Aircraft Part Metal check oil kit
4/1/2024 0:00,N8184G,Replacement,Instrument Filter,Aircraft Part Rapco filter
4/1/2024 0:00,N8184G,Replacement,Air Filter,Aircraft Part Air filter
4/1/2024 0:00,N8184G,Replacement,Spark Plug,Aircraft Part Spark plugs
4/1/2024 0:00,N8184G,Replacement,Brake Lining,Aircraft Part APS brake linings
4/1/2024 0:00,N8184G,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
4/1/2024 0:00,N8184G,Replacement,Oil,Aircraft Part AeroShell 15W-50 oil
