Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
1/17/2025 0:00,N9863L,Replacement,Rivet,Rivets
1/17/2025 0:00,N433SP,Replacement,Tire,Air Hawk tire
1/17/2025 0:00,N9863L,Replacement,Paint,Paint - Matterhorn White &
1/17/2025 0:00,N9863L,Replacement,Wing Component,Upper trailing edge wing skin
1/24/2025 0:00,N9863L,Replacement,Flap Component,Left flap assembly
1/24/2025 0:00,N9863L,Replacement,Cowl Mount,Lord cowl mount
1/24/2025 0:00,N9863L,Replacement,Flap Component,Flap roller kit
1/29/2025 0:00,N64527,Replacement,_UNMAPPED_,Tube
1/29/2025 0:00,N64527,Replacement,Gasket,Superior gasket
1/29/2025 0:00,N64527,Replacement,Miscellaneous,Miscellaneous hardware
1/29/2025 0:00,N64527,Replacement,Gasket,Lycoming exhaust gasket
1/29/2025 0:00,N64527,Replacement,Fire Extinguisher,Fire extinguisher
1/29/2025 0:00,N64527,Replacement,Duct,Air Duct
1/29/2025 0:00,N64527,Replacement,Oil Filter,Tempest 110 oil filter
1/29/2025 0:00,N64527,Replacement,Oil,Phillips 20W-50 oil
1/29/2025 0:00,N64527,Replacement,Tire,Air Hawk tire
1/29/2025 0:00,N64527,Service,Oil Analysis Kit,Metal check oil analysis kit
1/29/2025 0:00,N64527,Replacement,EGT Probe,EGT Probe
2/3/2025 0:00,N9863L,Replacement,Flap Component,McFarlane flap roller kit
2/3/2025 0:00,N9863L,Replacement,Flap Component,Flap track brackets
2/7/2025 0:00,N433SP,Replacement,Hinge Pin,Door hinge pin
2/7/2025 0:00,N433SP,Replacement,Bulb,Bulb
2/10/2025 0:00,N433SP,Service,Oil Analysis Kit,Oil analysis kit
2/10/2025 0:00,N433SP,Replacement,Oil Filter,Tempest oil filter
2/10/2025 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
2/10/2025 0:00,N388JF,Replacement,_UNMAPPED_,Throttle cable
2/10/2025 0:00,N388JF,Replacement,_UNMAPPED_,O-ring
2/10/2025 0:00,N388JF,Replacement,Cotter Pin,Cotter pins
2/21/2025 0:00,N9863L,Replacement,Miscellaneous,Miscellaneous hardware
2/21/2025 0:00,N9863L,Replacement,Flap Component,Flap cover
2/25/2025 0:00,N9863L,Replacement,Rivet,Rivets
2/25/2025 0:00,N9863L,Replacement,Brake Lining,Brake lining pad
2/25/2025 0:00,N433SP,Replacement,Inner Tube,Leak guard tube
2/25/2025 0:00,N433SP,Replacement,Miscellaneous,Miscellaneous hardware
2/25/2025 0:00,N433SP,Replacement,Air Filter,Air filter assy
2/25/2025 0:00,N433SP,Replacement,Tire,Air Hawk Tire
2/25/2025 0:00,N433SP,Service,Oil Analysis Kit,Metal check oil analysis kit
2/25/2025 0:00,N433SP,Replacement,Oil Filter,Tempest oil filter
2/25/2025 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
2/25/2025 0:00,N433SP,Replacement,Duct,Air duct ft
2/25/2025 0:00,N433SP,Replacement,Cowl Mount,Cowl mount
2/28/2025 0:00,N9863L,Replacement,Miscellaneous,Miscellaneous hardware
2/28/2025 0:00,N9863L,Replacement,_UNMAPPED_,Brake discs
2/28/2025 0:00,N9863L,Replacement,Brake Lining,Brake lining pads
2/28/2025 0:00,N9863L,Replacement,_UNMAPPED_,Aft dorsal fin
2/28/2025 0:00,N9863L,Replacement,Cowl Mount,Cowl mounts
2/28/2025 0:00,N9863L,Replacement,Air Filter,Air filter
2/28/2025 0:00,N9863L,Replacement,Oil,Phillips 20w-50 oil
2/28/2025 0:00,N9863L,Replacement,Oil Filter,Tempest oil filter
2/28/2025 0:00,N9863L,Service,Oil Analysis Kit,Oil analysis kit
3/5/2025 0:00,N388JF,Replacement,Oil Filter,Tempest oil filter
3/5/2025 0:00,N388JF,Replacement,Oil,Phillips 20W-50 oil
3/5/2025 0:00,N388JF,Service,Oil Analysis Kit,Oil analysis kit
3/5/2025 0:00,N388JF,Replacement,Air Filter,Air filter
3/5/2025 0:00,N388JF,Replacement,Duct,Duct
3/5/2025 0:00,N388JF,Replacement,Miscellaneous,Miscellaneous hardware
3/11/2025 0:00,N8184G,Replacement,Oil,Oil temp probe
3/11/2025 0:00,N8184G,Replacement,Spark Plug,Spark plug gasket
3/11/2025 0:00,N8184G,Replacement,Oil Filter,Tempest oil filter
3/11/2025 0:00,N8184G,Replacement,_UNMAPPED_,Parts Attitude indicator core (Will be returned
3/11/2025 0:00,N8184G,Replacement,_UNMAPPED_,Attitude indicator
3/11/2025 0:00,N8184G,Service,Oil Analysis Kit,Oil analysis kit
4/18/2025 0:00,N64527,Replacement,Seat Stop Kit,Seat stop kit
4/18/2025 0:00,N64527,Replacement,Seat Component,McFarlane Aviation Pilot and copilot seat
4/18/2025 0:00,N388JF,Replacement,Oil,Phillips 20W-50 oil
4/18/2025 0:00,N388JF,Service,Oil Analysis Kit,Oil analysis kit
4/18/2025 0:00,N8184G,Replacement,Adhesive,1300 Adhesive
4/18/2025 0:00,N8184G,Replacement,Miscellaneous,Miscellaneous hardware
4/18/2025 0:00,N388JF,Replacement,Oil Filter,Tempest oil filter
4/18/2025 0:00,N8184G,Replacement,Gasket,Valve cover gasket
4/18/2025 0:00,N8184G,Replacement,_UNMAPPED_,O-rings
4/18/2025 0:00,N8184G,Replacement,Oil,Aero Shell 15w-50 oil
4/18/2025 0:00,N64527,Replacement,Rivet,Solid rivet
4/18/2025 0:00,N8184G,Replacement,Air Filter,Air filter
4/18/2025 0:00,N8184G,Replacement,Brake Lining,Brake lining pads
4/18/2025 0:00,N8184G,Replacement,Oil Filter,Tempest oil filter
4/29/2025 0:00,N8184G,Replacement,Adhesive,1300 Adhesive tube 5oz
5/8/2025 0:00,N64527,Replacement,Oil,Phillips 20W-50 mineral oil
5/8/2025 0:00,N64527,Replacement,Oil Filter,Tempest oil filter
5/8/2025 0:00,N64527,Replacement,Rivet,Cherry max rivets
5/8/2025 0:00,N64527,Replacement,Camloc Stud,Camloc stud
5/16/2025 0:00,N64527,Service,Oil Analysis Kit,Oil analysis kit
5/16/2025 0:00,N64527,Replacement,Primer,Primer overhaul kit
5/16/2025 0:00,N64527,Replacement,Camloc Stud,Camloc stud
5/16/2025 0:00,N64527,Replacement,_UNMAPPED_,D batteries
5/16/2025 0:00,N64527,Replacement,Miscellaneous,Miscellaneous hardware
5/23/2025 0:00,N388JF,Replacement,Sealant,Parts 890 B 1/2 Sealant / 6 oz SEM Kit
5/23/2025 0:00,N388JF,Replacement,Placard,Parts Fuel placard
5/23/2025 0:00,N388JF,Replacement,Oil,Parts Lycoming oil dipstick gasket
5/23/2025 0:00,N388JF,Replacement,Air Filter,Parts Air filter
5/23/2025 0:00,N388JF,Service,Oil Analysis Kit,Parts Oil analysis kit
5/23/2025 0:00,N388JF,Replacement,Oil Filter,Parts Tempest oil filter
5/23/2025 0:00,N388JF,Replacement,Oil,Parts Phillips 20W-50 oil
5/23/2025 0:00,N388JF,Replacement,Rudder Component,Parts Cessna172 Rudder Butt Tip
5/23/2025 0:00,N388JF,Replacement,Miscellaneous,Parts Miscellaneous hardware
5/23/2025 0:00,N388JF,Replacement,Eye Bolt,Parts Eye bolt
5/23/2025 0:00,N388JF,Replacement,Fastener,Parts Skybolt fastener
5/27/2025 0:00,N8184G,Replacement,Oil Filter,Tempest oil filter
5/27/2025 0:00,N8184G,Service,Oil Analysis Kit,Oil analysis kit
5/27/2025 0:00,N8184G,Replacement,Spark Plug,Spark plug
5/27/2025 0:00,N8184G,Replacement,Hinge Pin,McFarlane Hinge Pin Kit
5/27/2025 0:00,N8184G,Replacement,Primer,Primer overhaul kit
5/27/2025 0:00,N8184G,Replacement,_UNMAPPED_,Airtex Black vinyl for glare shield
5/27/2025 0:00,N8184G,Replacement,Sealant,890 B 1/2 Sealant / 2.5 oz SEM Kit
5/27/2025 0:00,N8184G,Replacement,Miscellaneous,Miscellaneous hardware
5/27/2025 0:00,N8184G,Replacement,Oil,Aero Shell 15W-50 oil
5/28/2025 0:00,N64527,Replacement,CHT Probe,Parts CHT Probe
5/28/2025 0:00,N64527,Replacement,Exhaust Component,Parts Exhaust welding
6/3/2025 0:00,N388JF,Replacement,Tire,Air Hawk 6 ply tire
6/3/2025 0:00,N388JF,Replacement,Inner Tube,Leak guard tube
8/14/2025 0:00,N8184G,Replacement,Oil Filter,Tempest oil filter
8/14/2025 0:00,N8184G,Replacement,_UNMAPPED_,Aero Shell 15W-50
8/14/2025 0:00,N8184G,Service,Oil Analysis Kit,Oil analysis kit
8/14/2025 0:00,N8184G,Replacement,_UNMAPPED_,Bendix Ground Terminal Kit
8/14/2025 0:00,N8184G,Replacement,Seal,Cowling seal
8/14/2025 0:00,N8184G,Replacement,Air Filter,Air Filter
8/14/2025 0:00,N8184G,Replacement,Brake Lining,Cleveland brake pad lining
8/14/2025 0:00,N8184G,Replacement,Seat Rail,RH Seat rail
8/14/2025 0:00,N8184G,Replacement,Seat Rail,LH Seat rail
8/14/2025 0:00,N8184G,Replacement,Adhesive,Bonderite 1132 - Alodine Pen
8/14/2025 0:00,N8184G,Replacement,Spark Plug,Tempest spark plug
8/14/2025 0:00,N8184G,Replacement,Gasket,Premium silicone valve cover gasket
8/14/2025 0:00,N8184G,Replacement,Miscellaneous,Miscellaneous hardware
8/14/2025 0:00,N8184G,Replacement,Gasket,Superior gasket
8/29/2025 0:00,N9863L,Replacement ,Oil Filter,Oil Filter 
8/29/2025 0:00,N9863L,Service,Air Filter,Air Induction Filter
8/29/2025 0:00,N388JF,Replacement ,Shimmy Damper,Shimmy Dampner 
8/29/2025 0:00,N9863L,Service ,Spark Plug,Spark Plugs
8/29/2025 0:00,N9863L,Service,Strut Component,Strut
8/29/2025 0:00,N388JF,Replacement ,Spark Plug,Spark Plugs
8/31/2025 0:00,N388JF,Service ,Air Filter,Air Induction Filter
8/31/2025 0:00,N388JF,Service ,Strut Component,Strut
8/31/2025 0:00,N388JF,Replacement ,Oil Filter,Oil Filter 
